Name,GLong deg.,GLat deg.,Radius arcmin.,Reliability
G035.997+00.957,35.997,0.957,11.2,II
G036.245+00.350,36.245,0.350,10.5,II
G036.858+00.083,36.858,0.083,5.6,II
G037.455-00.282,37.455,-0.282,4.7,III
G037.518-00.631,37.518,0.351,3.5,II
G037.693+01.814,37.693,1.814,58.0,III
G037.877+00.593,37.877,0.593,3.1,II
G038.214-00.202,38.214,-0.202,1.0,II
G038.815-00.136,38.815,-0.136,4.3,I
G039.038+00.748,39.038,7.48,11.7,I
G039.516+00.501,39.516,5.01,6.1,I
G040.341+00.277,40.341,0.277,1.6,II
G040.449+00.540,40.449,0.540,9.1,I
G040.866+00.155,40.866,0.155,10.6,II
G041.699+00.975,41.699,0.975,3.0,II
G042.186-00.802,42.186,-0.802,2.0,II
G042.506-00.445,42.506,-0.445,1.7,III
G042.665-00.634,42.665,-0.634,1.8,III
G042.954+00.074,42.954,0.074,4.4,I
G043.047-00.067,43.047,-0.067,5.4,I
G341.756-00.324,341.756,-0.324,5.8,
G341.830-00.591,341.830,-0.591,14.0,III
G341.997-00.007,341.997,-0.007,13.7,III
G342.065+01.000,342.065,1.000,33.2,II
G342.427+00.472,342.427,0.472,18.8,II
G342.556+00.615,342.556,0.615,7.5,I
G342.731+00.172,342.731,0.172,2.7,II
G343.326-00.335,343.326,-0.335,5.0,II
G343.591-00.071,343.359, -0.071,12.6,II
G344.064-00.013,344.064,-0.013,6.6,III
G345.167-00.172,345.167,-0.172,6.4,II
G345.308-01.077,345.308,-1.077,3.4,II
G345.532-00.001,345.532,-0.001,4.4,I
G345.821+01.199,345.821,1.199,10.5,II
G345.899+00.169,345.899,0.169,4.3,I
G346.072+00.040,346.072,0.040,2.3,II
G346.365+00.305,346.365,0.305,3.8,III
G346.821-00.981,346.821,-0.981,6.0,III
G346.849+00.353,346.849,0.353,3.5,II
G346.907+00.323,346.907,0.323,1.0,II
G347.362-00.352,347.362,-0.352,15.8,I
G347.380+00.473,347.380,0.473,19.0,II
G348.160-00.211,348.160,-0.211,12.0,II
G348.324-00.735,348.324,-0.735,4.7,I
G348.374+00.153,348.374,0.153,9.0,I
G348.586+00.249,348.586,0.249,7.3,I
G350.299-00.086,350.299,-0.086,9.7,I
G350.404-01.013,350.404,-1.013,2.6,II
G350.471+00.088,350.471,0.088,1.3,II
G350.584-00.909,350.584,-0.909,2.8,II
G350.937-00.338,350.937,-0.338,18.5,II
G351.361-00.049,351.361,-0.049,9.9,I
G351.658+00.093,351.658,0.093,5.9,I
G351.790-00.239,351.790,-0.239,7.7,II
G352.220-00.458,352.220,-0.458,18.1,II
G352.267-00.062,352.267,-0.062,7.4,I
G352.589-00.299,352.258,-0.299,7.4,II
G352.759-00.340,352.759,-0.340,5.4,I
G354.353-00.018,354.353,-0.018,2.3,II
G354.362+00.285,354.362,0.285,9.9,II
G354.931-00.241,354.931,-0.241,2.9,II
G355.406+00.513,355.406,0.513,3.5,II
G355.464-00.253,355.464,-0.253,3.0,II
G355.854-00.084,355.854,-0.084,1.0,III
G355.919-00.206,355.919,-0.206,2.0,I
G356.621+00.125,356.621,0.125,4.2,III
G356.662-00.297,356.662,-0.297,12.8,II
G356.717+00.139,356.717,0.139,5.1,II
G356.795-00.073,356.795,-0.073,0.8,II
G357.083+00.318,357.083,0.318,3.2,I
G357.109-00.187,357.109,-0.187,9.0,I
G357.109+00.055,357.109,0.55,5.2,I
G357.528-00.455,357.528,-0.455,11.2,I
G337.069-00.340,337.069,-0.340,1.3,III
G337.109-00.066,337.109,-0.066,1.3,
G337.167+00.332,337.167,0.332,2.5,
G338.763+00.374,338.763,0.374,11.5,
G339.169-00.023,339.169,-0.023,1.2,
G339.190-00.266,339.190,-0.266,6.5,
G339.304+00.038,339.304,0.038,5.6,
G339.446-00.151,339.446,-0.151,1.1,
G339.686-00.182,339.686,-0.182,4.2,
G340.132-00.069,340.132,-0.069,3.1,
G340.763-00.463,340.763,-0.463,7.4,
G341.137-01.237,341.137,-1.237,2.1,
G341.427-00.393,341.427,-0.393,4.2,
G341.456-00.176,341.456,-0.176,7.8,
G341.515+00.174,341.515,0.174,13.7,
G330.628-00.284,330.628,-0.284,7.7,I
G331.635+00.247,331.635,0.247,14.7,I
G332.478+00.083,332.478,0.083,3.9,
G333.237+00.804,333.237,0.804,6.9,II
G333.480+00.010,333.480,0.010,7.1,
G334.038+00.040,334.038,0.040,5.9,IIIII
G334.834-00.044,334.834,-0.044,0.9,
G334.929-00.464,334.929,-0.464,4.2,
G334.938-00.319,334.938,-0.319,1.8,
G334.991-00.290,334.991,-0.290,1.0,III
G335.179+00.525,335.579,0.525,7.0,III
G335.341-00.189,335.341,-0.189,1.7,
G335.386+00.252,335.386,0.252,5.9,
G336.321-00.748,336.321,-0.748,1.0,
G337.031-00.210,337.031,-0.210,2.5,
G304.071+01.227,304.071,1.227,3.5,II
G304.226-00.504,304.226,-0.504,5.3,I
G306.195-00.520,306.195,-0.520,1.9,II
G306.243-00.876,306.243,-0.876,13.4,III
G307.050-00.691,307.050,-0.691,31.4,I
G307.510-00.954,307.510,-0.954,11.1,I
G307.930+00.134,307.930,0.134,13.8,I
G308.309-00.189,308.309,-0.189,5.9,II
G308.730+01.380,308.730,1.380,10.8,I
G308.830-00.544,308.830,-0.544,15.6,I
G309.202-00.118,309.202,-0.118,6.7,I
G310.275-00.171,310.275,-0.171,5.2,I
G310.457-00.607,310.457,-0.607,12.4,I
G310.702-00.573,310.702,-0.573,1.2,II
G310.955-00.565,310.955,-0.565,2.6,II
G312.273-00.673,312.273,-0.673,9.7,I
G312.504-00.018,312.504,-0.018,1.1,II
G312.969-00.095,312.969,-0.095,8.1,I
G313.499-00.525,313.499,-0.525,7.9,I
G314.338-00.204,314.338,-0.204,12.8,I
G314.620+00.256,314.620,0.256,12.0,III
G315.312-00.319,315.312,-0.319,7.1,I
G315.715-00.227,315.715,-0.227,0.9,II
G315.501-00.584,315.501,-0.584,1.6,II
G315.620+00.332,315.620,0.332,2.6,II
G315.905-00.817,315.905,-0.817,13.2,II
G316.349-00.340,316.349,-0.340,10.5,I
G316.456-00.095,316.456,-0.095,1.4,II
G316.587-00.097,316.587,-0.097,4.9,III
G316.704+00.399,316.704,0.399,7.3,I
G318.033-00.935,318.033,-0.935,1.5,II
G318.072-00.394,318.072,-0.394,4.0,II
G318.602-00.884,318.602,-0.884,9.2,II
G318.871-00.468,318.871,-0.468,9.0,I
G319.426-00.691,319.426,-0.691,9.4,I
G320.762-00.351,320.762,-0.351,5.0,I
G320.944-01.289,320.944,-1.289,7.4,III
G321.311-00.862,321.311,-0.862,3.5,
G321.455+00.408,321.455,0.408,6.4,III
G322.462+00.084,322.462,0.084,9.7,III
G322.644-00.694,322.644,-0.694,15.0,I
G322.762-00.423,322.762,-0.423,9.5,I
G323.551-00.190,323.551,-0.190,27.2,I
G323.552-00.790,323.552,-0.790,15.6,I
G323.884-01.128,323.884,-1.128,14.6,I
G324.009-01.295,324.009,-1.295,1.2,III
G324.505+00.128,324.505,0.128,3.5,III
G324.923-00.571,324.923,-0.571,5.7,II
G325.502+00.293,325.502,0.293,29.1,II
G326.622-00.558,326.622,-0.558,28.8,III
G328.225-00.664,328.225,-0.664,5.5,I
G328.346-00.480,328.346,-0.480,2.8,II
G328.479-00.108,328.479,-0.108,9.3,I
G328.703+00.016,328.703,0.016,9.3,I
